"step","flux_u1"
0,-0.052169994
1000,0.9732436
2000,0.97714055
3000,0.979643
4000,0.97768235
5000,0.97339916
6000,0.98164856
7000,0.982744
8000,0.98134804
9000,0.9850327
10000,0.9896364
